20250822_112548 - Detected: Modern Smartphone | Confidence: 0.70 | Size: 35x70 | Cameras: 0
20250822_112550 - Detected: Modern Smartphone | Confidence: 0.68 | Size: 25x49 | Cameras: 0
20250822_112552 - Detected: Modern Smartphone | Confidence: 0.68 | Size: 48x98 | Cameras: 0
20250822_112554 - Detected: Modern Smartphone | Confidence: 0.68 | Size: 48x98 | Cameras: 0
20250822_112556 - Detected: Modern Smartphone | Confidence: 0.66 | Size: 46x96 | Cameras: 0
20250822_112558 - Detected: Modern Smartphone | Confidence: 0.66 | Size: 47x98 | Cameras: 0
20250822_112600 - Detected: Modern Smartphone | Confidence: 0.68 | Size: 48x94 | Cameras: 0
20250822_112602 - Detected: Modern Smartphone | Confidence: 0.65 | Size: 26x55 | Cameras: 0
20250822_112604 - Detected: Modern Smartphone | Confidence: 0.66 | Size: 46x96 | Cameras: 0
20250822_112606 - Detected: Modern Smartphone | Confidence: 0.66 | Size: 47x98 | Cameras: 0
20250822_112608 - Detected: Modern Smartphone | Confidence: 0.68 | Size: 48x98 | Cameras: 0
20250822_112610 - Detected: Modern Smartphone | Confidence: 0.66 | Size: 47x98 | Cameras: 0
20250822_112612 - Detected: Modern Smartphone | Confidence: 0.66 | Size: 47x98 | Cameras: 0
20250822_112614 - Detected: Modern Smartphone | Confidence: 0.66 | Size: 47x98 | Cameras: 0
20250822_112616 - Detected: Modern Smartphone | Confidence: 0.68 | Size: 48x98 | Cameras: 0
20250822_112618 - Detected: Modern Smartphone | Confidence: 0.66 | Size: 46x96 | Cameras: 0
20250822_112620 - Detected: Modern Smartphone | Confidence: 0.65 | Size: 46x97 | Cameras: 0
20250822_112622 - Detected: Modern Smartphone | Confidence: 0.66 | Size: 46x96 | Cameras: 0
20250822_112624 - Detected: Modern Smartphone | Confidence: 0.66 | Size: 47x98 | Cameras: 0
20250822_112626 - Detected: Modern Smartphone | Confidence: 0.69 | Size: 56x113 | Cameras: 0
20250822_112628 - Detected: Modern Smartphone | Confidence: 0.68 | Size: 48x98 | Cameras: 0
20250822_112630 - Detected: Modern Smartphone | Confidence: 0.68 | Size: 48x98 | Cameras: 0
20250822_112632 - Detected: Modern Smartphone | Confidence: 0.68 | Size: 48x98 | Cameras: 0
20250822_112634 - Detected: Modern Smartphone | Confidence: 0.68 | Size: 48x98 | Cameras: 0
20250822_112636 - Detected: Modern Smartphone | Confidence: 0.68 | Size: 48x98 | Cameras: 0
20250822_112638 - Detected: Modern Smartphone | Confidence: 0.68 | Size: 48x98 | Cameras: 0
20250822_112640 - Detected: Modern Smartphone | Confidence: 0.68 | Size: 28x57 | Cameras: 0
20250822_112642 - Detected: Modern Smartphone | Confidence: 0.64 | Size: 47x100 | Cameras: 0
20250822_112644 - Detected: Modern Smartphone | Confidence: 0.66 | Size: 47x98 | Cameras: 0
20250822_112646 - Detected: Modern Smartphone | Confidence: 0.68 | Size: 48x98 | Cameras: 0
20250822_112648 - Detected: Modern Smartphone | Confidence: 0.67 | Size: 47x97 | Cameras: 0
20250822_112650 - Detected: Modern Smartphone | Confidence: 0.64 | Size: 46x98 | Cameras: 0
20250822_112652 - Detected: Modern Smartphone | Confidence: 0.68 | Size: 48x98 | Cameras: 0
20250822_112654 - Detected: Modern Smartphone | Confidence: 0.67 | Size: 47x97 | Cameras: 0
20250822_112656 - Detected: Modern Smartphone | Confidence: 0.64 | Size: 28x53 | Cameras: 0
20250822_112658 - Detected: Modern Smartphone | Confidence: 0.65 | Size: 46x88 | Cameras: 0
